Title,Year,Rating,Votes:,Time,Genre,Stars,Short Story
Hellbound,(2021– ),6.7,"14,032",150 min,"Crime, Drama, Fantasy","Yoo Ah-in, Kim Hyun-joo, Jeong Min Park, Jin-ah Won","
People hear predictions on when they will die. When that time comes, a death angel appears in front of them and kills them."
Squid Game,(2021– ),8.1,"339,931",55 min,"Action, Drama, Mystery","Lee Jung-jae, Park Hae-soo, Wi Ha-Joon, Jung Hoyeon","
Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits with deadly high stakes. A survival game that has a whopping 45.6 billion-won prize at stake."
My Name,(2021– ),7.9,"12,877",50 min,"Action, Crime, Drama","Hee-soon Park, Ahn Bo-Hyun, Han So-hee, Kim Sang-Ho","
The story about a woman who joins an organized crime ring and infiltrates the police as an undercover agent in order to find out the truth about her father's death."
Miraculous: Tales of Ladybug & Cat Noir,(2015– ),7.7,"9,439",20 min,"Animation, Action, Adventure","Cristina Valenzuela, Bryce Papenbrook, Keith Silverstein, Mela Lee","
Marinette and Adrien, two normal teens, transform into superheroes Ladybug and Cat Noir when an evil threatens their city."
Happiness,(2021– ),8.6,921,-,"Action, Fantasy, Thriller","Han Hyo-joo, Park Hyung-Sik, Woo-jin Jo, Lee Joon-hyuk","
An apocalyptic thriller that takes place in a time in which infectious diseases have become the new normal."
Dr. Brain,(2021– ),6.9,"1,031",60 min,"Drama, Mystery, Sci-Fi","Sun-kyun Lee, June Yoon, Yoo-Young Lee, Hee-soon Park","
Brilliant brain scientist Sewon (Lee Sun-Kyun) suffers a horrific personal tragedy. Desperate to uncover what happened to his family, he conducts ""brain syncs"" with the dead to access their memories for clues."
Adventure Time,(2010–2018),8.6,"85,668",11 min,"Animation, Action, Adventure","John DiMaggio, Jeremy Shada, Tom Kenny, Hynden Walch","
A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future."
Hometown Cha-Cha-Cha,(2021– ),8.6,"6,192",70 min,"Comedy, Romance","Shin Min-a, Kim Seon-Ho, Lee Bong-ryun, Kim Young-ok","
A big-city dentist opens up a practice in a close-knit seaside village, home to a charming jack-of-all-trades who is her polar opposite in every way."
Kingdom,(2019– ),8.4,"39,773",45 min,"Action, Drama, History","Ju Ji-Hoon, Bae Doona, Kim Sungkyu, Hye-jun Kim","
While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land."
Sweet Home,(2020– ),7.4,"15,932",52 min,"Drama, Fantasy, Horror","Song Kang, Lee Jin-Wook, Lee Si-young, Lee Do-Hyun","
Hyun, a loner high school student who lost his entire family in a terrible accident, is forced to leave his home and has to face a new reality where monsters are trying to wipe out all of humanity. Now he must fight against all odds to try and race against the clock to save what is left of the human race before it's too late."
