Genre,Year,Rating
Crime,2021,6.7
 Drama,2021,6.7
 Fantasy,2021,6.7
Action,2021,8.1
 Drama,2021,8.1
 Mystery,2021,8.1
Action,2021,7.9
 Crime,2021,7.9
 Drama,2021,7.9
Animation,2015,7.7
 Action,2015,7.7
 Adventure,2015,7.7
Action,2021,8.6
 Fantasy,2021,8.6
 Thriller,2021,8.6
Drama,2021,6.9
 Mystery,2021,6.9
 Sci-Fi,2021,6.9
Animation,2010,8.6
Animation,2011,8.6
Animation,2012,8.6
Animation,2013,8.6
Animation,2014,8.6
Animation,2015,8.6
Animation,2016,8.6
Animation,2017,8.6
Animation,2018,8.6
 Action,2010,8.6
 Action,2011,8.6
 Action,2012,8.6
 Action,2013,8.6
 Action,2014,8.6
 Action,2015,8.6
 Action,2016,8.6
 Action,2017,8.6
 Action,2018,8.6
 Adventure,2010,8.6
 Adventure,2011,8.6
 Adventure,2012,8.6
 Adventure,2013,8.6
 Adventure,2014,8.6
 Adventure,2015,8.6
 Adventure,2016,8.6
 Adventure,2017,8.6
 Adventure,2018,8.6
Comedy,2021,8.6
 Romance,2021,8.6
Action,2019,8.4
 Drama,2019,8.4
 History,2019,8.4
Drama,2020,7.4
 Fantasy,2020,7.4
 Horror,2020,7.4
Adventure,2019,8.7
Adventure,2020,8.7
 Comedy,2019,8.7
 Comedy,2020,8.7
 Romance,2019,8.7
 Romance,2020,8.7
Crime,2021,8.9
 Mystery,2021,8.9
Adventure,2021,-
 Drama,2021,-
 Mystery,2021,-
Drama,2021,8.1
 Romance,2021,8.1
Animation,2019,8.1
 Short,2019,8.1
 Action,2019,8.1
Comedy,2021,8.5
 Crime,2021,8.5
 Drama,2021,8.5
Comedy,2020,8.7
 Drama,2020,8.7
 Romance,2020,8.7
Comedy,2016,8.6
Comedy,2017,8.6
 Drama,2016,8.6
 Drama,2017,8.6
 Fantasy,2016,8.6
 Fantasy,2017,8.6
Action,2021,8.7
 Crime,2021,8.7
 Mystery,2021,8.7
Drama,2021,7.8
 Romance,2021,7.8
Animation,2007,8.0
Animation,2008,8.0
Animation,2009,8.0
Animation,2010,8.0
Animation,2011,8.0
Animation,2012,8.0
Animation,2013,8.0
Animation,2014,8.0
Animation,2015,8.0
 Short,2007,8.0
 Short,2008,8.0
 Short,2009,8.0
 Short,2010,8.0
 Short,2011,8.0
 Short,2012,8.0
 Short,2013,8.0
