Title,Year,Genre,Rating
Hellbound,"('2021', '2021')","['Crime', ' Drama', ' Fantasy']",6.7
Squid Game,"('2021', '2021')","['Action', ' Drama', ' Mystery']",8.1
My Name,"('2021', '2021')","['Action', ' Crime', ' Drama']",7.9
Miraculous: Tales of Ladybug & Cat Noir,"('2015', '2015')","['Animation', ' Action', ' Adventure']",7.7
Happiness,"('2021', '2021')","['Action', ' Fantasy', ' Thriller']",8.6
Dr. Brain,"('2021', '2021')","['Drama', ' Mystery', ' Sci-Fi']",6.9
Adventure Time,"('2010', '2018')","['Animation', ' Action', ' Adventure']",8.6
Hometown Cha-Cha-Cha,"('2021', '2021')","['Comedy', ' Romance']",8.6
Kingdom,"('2019', '2019')","['Action', ' Drama', ' History']",8.4
Sweet Home,"('2020', '2020')","['Drama', ' Fantasy', ' Horror']",7.4
Crash Landing on You,"('2019', '2020')","['Adventure', ' Comedy', ' Romance']",8.7
One Ordinary Day,"('2021', '2021')","['Crime', ' Mystery']",8.9
The Silent Sea,"('2021', '2021')","['Adventure', ' Drama', ' Mystery']",-
The King's Affection,"('2021', '2021')","['Drama', ' Romance']",8.1
Amphibia,"('2019', '2019')","['Animation', ' Short', ' Action']",8.1
Vincenzo,"('2021', '2021')","['Comedy', ' Crime', ' Drama']",8.5
It's Okay to Not Be Okay,"('2020', '2020')","['Comedy', ' Drama', ' Romance']",8.7
Guardian: The Lonely and Great God,"('2016', '2017')","['Comedy', ' Drama', ' Fantasy']",8.6
Mouse,"('2021', '2021')","['Action', ' Crime', ' Mystery']",8.7
"Now, We Are Breaking Up","('2021', '2021')","['Drama', ' Romance']",7.8
Phineas and Ferb,"('2007', '2015')","['Animation', ' Short', ' Action']",8.0
Red Sleeve,"('2021', '2021')","['Drama', ' History', ' Romance']",8.8
True Beauty,"('2020', '2021')","['Comedy', ' Drama', ' Romance']",8.1
The Boondocks,"('2005', '2014')","['Animation', ' Action', ' Comedy']",8.4
Itaewon Class,"('2020', '2020')","['Drama', ' Romance']",8.2
Jirisan,"('2021', '2021')","['Action', ' Drama', ' Mystery']",7.7
Start-Up,"('2020', '2020')","['Comedy', ' Drama', ' Romance']",8.1
Mr. Sunshine,"('2018', '2018')","['Action', ' Drama', ' History']",8.8
The Flower of Evil,"('2020', '2020')","['Crime', ' Mystery', ' Romance']",8.7
Kim Possible,"('2002', '2007')","['Animation', ' Action', ' Adventure']",7.2
Stranger,"('2017', '2017')","['Crime', ' Drama', ' Mystery']",8.5
Vagabond,"('2019', '2019')","['Action', ' Mystery', ' Thriller']",8.2
Descendants of the Sun,"('2016', '2016')","['Action', ' Comedy', ' Drama']",8.3
Nevertheless,"('2021', '2021')","['Drama', ' Romance']",7.3
Hotel Del Luna,"('2019', '2019')","['Drama', ' Fantasy', ' Horror']",8.2
D.P.,"('2021', '2021')","['Action', ' Crime', ' Drama']",8.3
Move to Heaven,"('2021', '2021')",['Drama'],8.6
Extracurricular,"('2020', '2020')","['Crime', ' Drama']",7.7
What's Wrong with Secretary Kim,"('2018', '2018')","['Comedy', ' Mystery', ' Romance']",8.1
Reflection of You,"('2021', '2021')","['Drama', ' Thriller']",6.9
Beyond Evil,"('2021', '2021')","['Drama', ' Mystery', ' Thriller']",8.2
Snowdrop,"('2021', '2021')","['Drama', ' Romance']",10.0
The King: Eternal Monarch,"('2020', '2020')","['Fantasy', ' Mystery', ' Romance']",8.2
Strong Girl Bong-soon,"('2017', '2017')","['Comedy', ' Crime', ' Drama']",8.2
Tale of the Nine Tailed,"('2020', '2020')","['Fantasy', ' Horror', ' Romance']",7.9
Hell Is Other People,"('2019', '2019')","['Crime', ' Horror', ' Mystery']",7.9
Moon Lovers: Scarlet Heart Ryeo,"('2016', '2016')","['Drama', ' Fantasy', ' History']",8.7
Something in the Rain,"('2018', '2018')","['Drama', ' Romance']",8.1
Arthdal Chronicles,"('2019', '2019')","['Action', ' Drama', ' Fantasy']",8.4
Reply 1988,"('2015', '2016')","['Comedy', ' Drama', ' Family']",9.1
Teenage Mutant Ninja Turtles,"('1987', '1996')","['Animation', ' Action', ' Adventure']",7.9
The Uncanny Counter,"('2020', '2020')","['Action', ' Fantasy', ' Horror']",8.1
Sijipeuseu: The Myth,"('2021', '2021')","['Action', ' Drama', ' Fantasy']",7.1
The K2,"('2016', '2016')","['Drama', ' Romance', ' Thriller']",7.8
Big City Greens,"('2018', '2018')","['Animation', ' Adventure', ' Comedy']",7.2
While You Were Sleeping,"('2017', '2017')","['Comedy', ' Drama', ' Fantasy']",8.4
Money Heist Korea,"('2022', '2022')","['Action', ' Crime', ' Drama']",-
Mr. Queen,"('2020', '2021')","['Comedy', ' Fantasy', ' Romance']",8.8
My Mister,"('2018', '2018')","['Drama', ' Family']",9.1
Hospital Playlist,"('2020', '2021')","['Comedy', ' Drama']",8.8
The Penthouse: War in Life,"('2020', '2021')","['Crime', ' Drama', ' Mystery']",8.1
The World of the Married,"('2020', '2020')","['Drama', ' Romance']",8.1
Chimera,"('2021', '2021')","['Mystery', ' Thriller']",8.3
Teenage Mutant Ninja Turtles,"('2003', '2010')","['Animation', ' Action', ' Adventure']",7.8
Boys Over Flowers,"('2009', '2009')","['Comedy', ' Drama', ' Romance']",7.9
Just Between Lovers,"('2017', '2018')","['Drama', ' Romance']",8.2
Melancholia,"('2021', '2021')","['Drama', ' Romance']",7.6
Romance Is a Bonus Book,"('2019', '2019')",['Romance'],8.0
W,"('2016', '2016')","['Drama', ' Fantasy', ' Romance']",8.1
The Empress Ki,"('2013', '2014')","['Action', ' Drama', ' History']",8.5
The Devil Judge,"('2021', '2021')","['Crime', ' Drama', ' Mystery']",8.4
Doom at Your Service,"('2021', '2021')","['Drama', ' Fantasy', ' Romance']",8.1
Legend of the Blue Sea,"('2016', '2017')","['Comedy', ' Fantasy', ' Romance']",8.1
Run On,"('2020', '2021')","['Drama', ' Romance']",7.6
My Roommate Is a Gumiho,"('2021', '2021')","['Comedy', ' Fantasy', ' Romance']",7.9
Yumi's Cells,"('2021', '2021')","['Comedy', ' Drama', ' Romance']",8.5
Hwarang: The Poet Warrior Youth,"('2016', '2017')","['Comedy', ' Drama', ' History']",8.0
My Love from Another Star,"('2013', '2014')","['Comedy', ' Drama', ' Fantasy']",8.2
Law School,"('2021', '2021')","['Crime', ' Drama', ' Mystery']",8.1
Heirs,"('2013', '2013')","['Comedy', ' Drama', ' Romance']",7.5
Encounter,"('2018', '2019')","['Drama', ' Romance']",7.3
The Transformers,"('1984', '1987')","['Animation', ' Action', ' Adventure']",8.0
Healer,"('2014', '2015')","['Action', ' Comedy', ' Crime']",8.4
Secret Royal Inspector Joy,"('2021', '2021')","['Comedy', ' Drama', ' History']",7.8
Black,"('2017', '2017')","['Crime', ' Drama', ' Fantasy']",7.9
Voice,"('2017', '2021')","['Action', ' Crime', ' Mystery']",7.6
A Wonderful Sight,"('2021', '2021')","['Action', ' Comedy', ' Thriller']",6.6
Love Alarm,"('2019', '2021')","['Comedy', ' Drama', ' Romance']",7.0
Dali and the Cocky Prince,"('2021', '2021')","['Comedy', ' Drama', ' Romance']",8.2
18 Again,"('2020', '2020')","['Comedy', ' Fantasy', ' Romance']",8.2
Signal,"('2016', '2016')","['Crime', ' Drama', ' Fantasy']",8.6
Bad and Crazy,"('2021', '2021')","['Crime', ' Mystery']",9.1
Alhambeura Goongjeonui Chooeok,"('2018', '2019')","['Drama', ' Romance', ' Sci-Fi']",7.8
A Korean Odyssey,"('2017', '2018')","['Comedy', ' Fantasy', ' Horror']",8.1
Taxi Driver,"('2021', '2021')","['Action', ' Crime', ' Drama']",8.2
Lawless Lawyer,"('2018', '2018')","['Action', ' Drama', ' Thriller']",7.6
Star Wars: Clone Wars,"('2003', '2005')","['Animation', ' Action', ' Adventure']",7.8
Alvinnn!!! And the Chipmunks,"('2015', '2015')","['Animation', ' Comedy', ' Family']",4.6
Her Private Life,"('2019', '2019')","['Comedy', ' Romance']",7.7
The Veil,"('2021', '2021')","['Action', ' Crime', ' Drama']",7.7
Running Man,"('2010', '2010')","['Comedy', ' Game-Show', ' Reality-TV']",9.0
My Country: The New Age,"('2019', '2019')","['Action', ' Drama', ' History']",8.3
100 Days My Prince,"('2018', '2018')","['Action', ' Comedy', ' History']",7.7
Record of Youth,"('2020', '2020')","['Drama', ' Romance']",7.3
Oh My Venus,"('2015', '2016')","['Comedy', ' Drama', ' Romance']",7.8
One Spring Night,"('2019', '2019')","['Drama', ' Romance']",7.9
In the SOOP BTS Ver.,"('2020', '2020')",['Reality-TV'],9.5
Weightlifting Fairy Kim Bok-Joo,"('2016', '2017')","['Comedy', ' Romance']",8.4
Tower of God,"('2020', '2020')","['Animation', ' Action', ' Adventure']",7.7
Æon Flux,"('1991', '1995')","['Animation', ' Adventure', ' Sci-Fi']",7.8
Lovers of the Red Sky,"('2021', '2021')","['Drama', ' Fantasy', ' History']",7.8
The God of High School,"('2020', '2020')","['Animation', ' Action', ' Adventure']",7.3
Rookie Historian Goo Hae-Ryung,"('2019', '2019')","['Drama', ' History', ' Romance']",8.2
Extraordinary You,"('2019', '2019')","['Comedy', ' Fantasy', ' Romance']",7.8
Prison Playbook,"('2017', '2018')","['Comedy', ' Drama']",8.5
Craig of the Creek,"('2018', '2018')","['Animation', ' Short', ' Adventure']",7.1
My Secret Romance,"('2017', '2017')","['Comedy', ' Romance']",7.1
Skylanders Academy,"('2016', '2018')","['Animation', ' Action', ' Adventure']",6.6
Fight for My Way,"('2017', '2017')","['Comedy', ' Romance']",8.1
Because This Is My First Life,"('2017', '2017')","['Comedy', ' Drama', ' Romance']",8.1
Touch Your Heart,"('2019', '2019')","['Comedy', ' Romance']",7.7
New World,"('2021', '2021')",['Reality-TV'],8.2
Save Me,"('2017', '2019')","['Mystery', ' Thriller']",8.0
Dr. Romantic,"('2016', '2020')","['Drama', ' Romance']",8.3
The Marvelous Misadventures of Flapjack,"('2008', '2010')","['Animation', ' Short', ' Adventure']",7.8
Pinocchio,"('2014', '2015')","['Drama', ' Mystery', ' Romance']",8.1
Search: WWW,"('2019', '2019')","['Drama', ' Romance']",7.9
Suspicious Partner,"('2017', '2017')","['Comedy', ' Crime', ' Romance']",7.9
Navillera,"('2021', '2021')",['Drama'],8.8
Mine,"('2021', '2021')","['Drama', ' Mystery']",7.8
She Was Pretty,"('2015', '2015')","['Comedy', ' Romance']",7.7
Eobiseu,"('2019', '2019')","['Crime', ' Fantasy', ' Romance']",7.1
Secret Garden,"('2010', '2011')","['Comedy', ' Drama', ' Fantasy']",8.1
School 2021,"('2021', '2021')","['Romance', ' Comedy']",8.0
I'm Not a Robot,"('2017', '2018')","['Comedy', ' Romance', ' Sci-Fi']",8.0
SKY Castle,"('2018', '2019')","['Drama', ' Mystery']",8.7
Uncontrollably Fond,"('2016', '2016')","['Drama', ' Romance']",7.8
Cinderella and the Four Knights,"('2016', '2016')","['Comedy', ' Romance']",7.3
She Would Never Know,"('2021', '2021')","['Romance', ' Drama']",7.5
Good Doctor,"('2013', '2013')","['Drama', ' Romance']",8.1
Chief of Staff,"('2019', '2019')",['Drama'],8.0
The 1st Shop of Coffee Prince,"('2007', '2007')","['Comedy', ' Drama', ' Romance']",8.2
The Bride of Habaek,"('2017', '2017')","['Fantasy', ' Romance']",6.9
Mad for Each Other,"('2021', '2021')","['Comedy', ' Drama', ' Romance']",7.9
Chip 'n' Dale Rescue Rangers,"('1988', '1990')","['Animation', ' Action', ' Adventure']",7.6
Totally Spies!,"('2001', '2014')","['Animation', ' Action', ' Adventure']",7.0
My ID Is Gangnam Beauty,"('2018', '2018')","['Comedy', ' Romance']",7.4
Young Lady and Gentleman,"('2021', '2021')","['Comedy', ' Drama', ' Family']",8.9
Youth of May,"('2021', '2021')","['Drama', ' History', ' Romance']",8.6
Son: The Guest,"('2018', '2018')","['Drama', ' Horror', ' Mystery']",8.2
Muppet Babies,"('2018', '2018')","['Animation', ' Short', ' Adventure']",6.6
The Crowned Clown,"('2019', '2019')","['Drama', ' History', ' Romance']",7.9
Backstreet Rookie,"('2020', '2020')","['Action', ' Comedy', ' Romance']",7.5
When the Camellia Blooms,"('2019', '2019')","['Comedy', ' Drama', ' Romance']",8.0
Doctor Stranger,"('2014', '2014')","['Action', ' Drama', ' Romance']",7.4
When the Weather is Fine,"('2020', '2020')","['Drama', ' Romance']",7.9
So I Married My Anti-Fan,"('2021', '2021')","['Comedy', ' Music', ' Romance']",7.5
Rugal,"('2020', '2020')","['Action', ' Crime', ' Sci-Fi']",6.3
City Hunter,"('2011', '2011')","['Action', ' Romance', ' Thriller']",8.1
Love in the Moonlight,"('2016', '2016')","['Comedy', ' Drama', ' Romance']",7.8
Tempted,"('2018', '2018')","['Drama', ' Mystery', ' Romance']",7.2
Rocko's Modern Life,"('1993', '1996')","['Animation', ' Comedy']",7.9
Find Me in Your Memory,"('2020', '2020')","['Fantasy', ' Mystery', ' Romance']",7.4
Eulachacha Waikiki,"('2018', '2019')","['Comedy', ' Drama']",8.3
Yungnyong-i Nareusya,"('2015', '2016')","['Drama', ' History']",8.9
One the Woman,"('2021', '2021')","['Comedy', ' Romance']",7.4
Haereul poomeun dal,"('2012', '2012')","['Drama', ' Fantasy', ' Romance']",8.0
Aelliseu,"('2020', '2020')","['Drama', ' Fantasy', ' Mystery']",7.2
Dramaworld,"('2016', '2021')","['Short', ' Comedy', ' Drama']",7.4
Oh My Ghost,"('2015', '2015')","['Comedy', ' Drama', ' Fantasy']",8.0
Dream High,"('2011', '2012')","['Comedy', ' Music', ' Romance']",7.6
Live Up to Your Name,"('2017', '2017')","['Drama', ' Fantasy', ' Romance']",7.9
My Strange Hero,"('2006', '2019')","['Comedy', ' Drama']",7.1
Beauty Inside,"('2018', '2018')","['Drama', ' Fantasy', ' Romance']",7.5
A Love So Beautiful,"('2020', '2020')","['Comedy', ' Romance']",7.4
Baby Shark's Big Show!,"('2020', '2020')","['Animation', ' Short', ' Adventure']",1.8
Lost,"('2021', '2021')",['Drama'],8.5
Mystic Pop-up Bar,"('2020', '2020')","['Comedy', ' Fantasy', ' Mystery']",8.0
Melting Me Softly,"('2019', '2019')","['Comedy', ' Drama', ' Fantasy']",6.9
Busted!,"('2018', '2021')","['Comedy', ' Reality-TV']",7.7
Catch the Ghost,"('2019', '2019')","['Comedy', ' Drama', ' Mystery']",7.5
You Are My Spring,"('2021', '2021')","['Drama', ' Romance', ' Thriller']",7.4
Designated Survivor: 60 Days,"('2019', '2019')","['Drama', ' Thriller']",8.2
"Kill Me, Heal Me","('2015', '2015')","['Comedy', ' Drama', ' Romance']",8.3
Soolkkundoshiyeojadeul,"('2021', '2021')","['Comedy', ' Drama']",8.4
Good Manager,"('2017', '2017')","['Comedy', ' Drama']",7.8
Camp Lazlo!,"('2004', '2008')","['Animation', ' Short', ' Adventure']",6.4
Let Me Be Your Knight,"('2021', '2022')","['Comedy', ' Drama', ' Music']",8.5
Investigation Partners,"('2018', '2018')","['Crime', ' Drama', ' Thriller']",8.3
My First First Love,"('2019', '2019')",['Drama'],7.5
Baradeon Bada,"('2021', '2021')","['Music', ' Reality-TV']",9.5
Age of Youth,"('2016', '2017')","['Comedy', ' Drama', ' Romance']",8.3
Tell Me What You Saw,"('2020', '2020')","['Mystery', ' Thriller']",7.7
Are You Human Too?,"('2018', '2018')","['Comedy', ' Drama', ' Romance']",8.0
I Hear Your Voice,"('2013', '2013')","['Comedy', ' Drama', ' Fantasy']",8.1
Misaeng,"('2014', '2014')",['Drama'],8.6
Tunnel,"('2017', '2017')","['Crime', ' Fantasy', ' Thriller']",8.3
The Great Jang-Geum,"('2003', '2004')","['Biography', ' Drama', ' History']",8.5
Strongest Deliveryman,"('2017', '2017')","['Drama', ' Romance']",7.3
Undercover,"('2021', '2021')","['Drama', ' Thriller']",7.8
Ailiseu,"('2009', '2013')","['Action', ' Mystery', ' Romance']",7.8
Kairos,"('2020', '2020')","['Fantasy', ' Mystery', ' Thriller']",8.0
The Fiery Priest,"('2019', '2019')","['Action', ' Comedy', ' Crime']",8.2
Tomorrow with You,"('2017', '2017')","['Drama', ' Fantasy', ' Romance']",7.5
Super Wings!,"('2015', '2015')","['Animation', ' Adventure', ' Family']",6.2
Awaken,"('2020', '2020')","['Crime', ' Fantasy', ' Mystery']",7.5
Cheese in the Trap,"('2016', '2016')","['Comedy', ' Romance']",7.3
Bulgasal,"('2021', '2021')","['Fantasy', ' Thriller']",-
Our Beloved Summer,"('2021', '2021')","['Comedy', ' Romance']",8.5
The Tale of Nokdu,"('2019', '2019')","['Action', ' Comedy', ' History']",7.9
Doctor John,"('2019', '2019')","['Drama', ' Mystery', ' Romance']",8.2
OK K.O.! Let's Be Heroes,"('2017', '2019')","['Animation', ' Short', ' Action']",6.5
Man to Man,"('2017', '2017')","['Action', ' Drama', ' Thriller']",7.4
Chocolate,"('2019', '2020')","['Drama', ' Romance']",7.7
"Bring It On, Ghost","('2016', '2016')","['Comedy', ' Fantasy', ' Romance']",7.6
"Hi Bye, Mama!","('2020', '2020')","['Comedy', ' Drama', ' Fantasy']",8.0
Defendant,"('2017', '2017')","['Crime', ' Drama', ' Mystery']",8.2
Clean with Passion for Now,"('2017', '2019')","['Comedy', ' Romance']",6.7
The Great Queen Seondeok,"('2009', '2009')","['Biography', ' Drama', ' History']",8.8
Angel's Last Mission: Love,"('2019', '2019')","['Comedy', ' Drama', ' Fantasy']",7.8
"It's Okay, That's Love","('2014', '2014')","['Comedy', ' Drama', ' Romance']",8.3
Was It Love,"('2020', '2020')","['Comedy', ' Drama', ' Romance']",7.2
Syucheu,"('2018', '2018')","['Crime', ' Drama', ' Thriller']",7.4
Naesungjukin Boseu,"('2017', '2017')","['Comedy', ' Drama', ' Romance']",7.2
Do You Like Brahms?,"('2020', '2020')","['Drama', ' Music', ' Romance']",7.7
Sonic the Hedgehog,"('1993', '1994')","['Animation', ' Short', ' Action']",6.8
Hometown,"('2021', '2021')","['Horror', ' Mystery', ' Thriller']",6.6
Personal Taste,"('2010', '2010')","['Comedy', ' Drama', ' Romance']",7.4
My Girlfriend Is a Gumiho,"('2010', '2010')","['Comedy', ' Fantasy', ' Romance']",7.8
L.U.C.A.: The Beginning,"('2021', '2021')","['Action', ' Fantasy', ' Sci-Fi']",6.7
My Secret Terrius,"('2018', '2018')","['Comedy', ' Drama', ' Romance']",7.5
The Good Detective,"('2020', '2020')","['Action', ' Drama', ' Mystery']",7.5
Come and Hug Me,"('2018', '2018')","['Crime', ' Drama', ' Mystery']",7.9
The Innocent Man,"('2012', '2012')",['Drama'],7.7
Zombie Detective,"('2020', '2020')","['Comedy', ' Fantasy', ' Mystery']",7.4
Chicago Typewriter,"('2017', '2017')","['Drama', ' Fantasy', ' Romance']",8.3
Imitation,"('2021', '2021')","['Comedy', ' Music', ' Romance']",7.7
Wok of Love,"('2018', '2018')","['Comedy', ' Romance']",7.5
Bakugan Battle Brawlers,"('2007', '2010')","['Animation', ' Action', ' Adventure']",5.7
Secret Love Affair,"('2014', '2014')","['Drama', ' Music', ' Romance']",7.9
Seven Day Queen,"('2017', '2017')","['Drama', ' Romance']",7.7
Kill It,"('2019', '2019')","['Drama', ' Mystery', ' Thriller']",7.7
Still 17,"('2018', '2018')","['Comedy', ' Romance']",7.8
All of Us Are Dead,"('2022', '2022')","['Drama', ' Fantasy', ' Horror']",-
Marriage Contract,"('2016', '2016')",['Drama'],7.6
Racket Boys,"('2021', '2021')","['Comedy', ' Drama', ' Sport']",1.8
Stove League,"('2019', '2019')","['Drama', ' Sport']",8.4
Memorist,"('2020', '2020')","['Fantasy', ' Mystery', ' Thriller']",7.7
Life,"('2018', '2018')","['Drama', ' Thriller']",7.7
Mad Dog,"('2017', '2017')","['Crime', ' Drama', ' Thriller']",7.8
Dakteoseu,"('2016', '2016')","['Comedy', ' Drama', ' Romance']",7.7
Misty,"('2018', '2018')","['Drama', ' Mystery', ' Romance']",8.2
Where Stars Land,"('2018', '2018')","['Drama', ' Romance']",7.1
The Mummy,"('2001', '2003')","['Animation', ' Action', ' Adventure']",6.3
"Hello, Me!","('2021', '2021')","['Comedy', ' Fantasy', ' Romance']",7.2
So Not Worth It,"('2021', '2021')","['Comedy', ' Drama']",7.4
Familiar Wife,"('2018', '2018')","['Fantasy', ' Romance']",7.6
