,Income,KidHome,Recency,AmtFruits,AmtMeats,AmtFish,AmtSweets,AmtGold,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumDiscPurchases,FirstCampaign,SecondCampaign,Age_Elderly,Age_MiddleAge,Age_Young,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,MaritalStatus_Absurd,MaritalStatus_Alone,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Together,MaritalStatus_Widow,MaritalStatus_YOLO
0,70951.0,0,66,10,554,254,87,54,3,4,9,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1,57091.0,0,0,5,64,7,0,37,7,3,7,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2,46098.0,2,86,0,27,0,0,36,3,2,2,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3,25358.0,1,57,0,5,0,0,8,1,0,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4,60491.0,1,81,47,237,12,19,76,6,11,7,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
5,46891.0,1,91,12,23,29,15,61,2,1,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
6,46310.0,1,99,2,88,15,5,14,6,1,5,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
7,17144.0,2,96,2,19,0,2,6,3,0,4,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
8,65148.0,1,9,35,422,33,12,153,6,6,7,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
9,25545.0,1,35,1,64,16,12,85,2,2,3,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
10,55761.0,1,97,1,12,0,3,32,4,1,3,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
11,20587.0,1,39,3,6,4,1,9,1,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
12,56253.0,1,83,0,65,7,11,5,7,2,9,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
13,46423.0,2,6,0,16,0,0,8,2,0,4,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
14,51411.0,3,81,0,3,0,0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
15,41039.0,0,32,11,137,179,61,45,8,1,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
16,25293.0,1,51,0,11,0,2,9,1,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
17,27733.0,1,16,7,5,26,2,17,2,0,3,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
18,22212.0,1,49,9,20,6,8,21,2,0,4,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
19,34176.0,1,12,7,24,19,14,20,3,0,4,4,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
20,30833.0,2,33,0,7,3,1,6,1,0,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
21,43456.0,1,0,11,68,25,7,7,5,1,8,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
22,67046.0,1,92,35,133,23,151,107,4,5,4,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
23,53083.0,2,65,7,33,3,0,13,5,1,5,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
24,61209.0,0,73,0,224,119,49,99,5,3,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
25,76045.0,0,78,53,400,17,93,0,4,5,11,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
26,23272.0,0,29,3,6,4,2,12,1,0,3,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
27,71604.0,0,3,53,528,98,75,97,8,3,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
28,28973.0,0,59,0,46,3,2,12,5,1,5,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
29,71952.0,1,93,80,455,52,107,93,8,4,8,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
30,67506.0,1,73,38,67,33,36,67,4,1,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
31,62503.0,1,40,0,193,110,75,117,8,3,11,4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
32,44124.0,1,62,0,55,0,6,52,6,2,5,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
33,14421.0,0,81,0,2,3,3,8,1,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
34,48006.0,2,55,0,11,3,2,2,1,0,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
35,38808.0,1,21,17,52,3,19,30,5,1,4,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
36,45183.0,0,33,3,60,12,9,12,4,1,7,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
37,82032.0,0,54,194,377,149,125,57,4,6,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
38,81169.0,0,47,20,613,80,61,27,5,7,9,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
39,23091.0,2,98,0,11,0,0,2,2,1,3,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
40,64857.0,0,78,14,717,210,0,43,7,5,10,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
41,48726.0,1,90,3,38,4,0,59,3,2,4,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
42,28839.0,2,86,0,7,0,0,1,2,0,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
43,61559.0,1,8,83,88,32,14,34,4,2,10,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
44,15287.0,1,60,2,8,4,3,13,1,1,2,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
45,34838.0,2,62,23,29,29,14,47,2,1,4,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
46,67309.0,2,76,47,181,149,95,95,9,6,9,15,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
47,83844.0,0,57,31,345,75,31,191,4,4,11,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
48,66480.0,2,71,9,57,20,21,6,4,1,7,7,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
49,36715.0,1,16,10,125,21,13,16,7,2,4,6,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
50,41003.0,0,11,133,142,71,44,88,6,2,8,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
51,53863.0,1,4,4,30,6,4,30,7,1,7,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
52,22263.0,2,31,0,2,0,0,2,1,0,3,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
53,75032.0,1,74,12,180,47,12,12,5,4,9,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
54,45576.0,0,9,19,29,2,14,25,3,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
55,46757.0,1,71,30,163,0,51,122,4,4,7,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
56,40590.0,2,30,0,50,6,11,37,3,4,3,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
57,36138.0,2,48,0,16,0,0,5,3,1,4,5,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
58,34853.0,2,75,3,15,2,3,2,2,0,3,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
59,44213.0,2,48,11,35,0,4,7,2,1,5,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
60,72940.0,0,13,74,298,162,149,116,3,3,6,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
61,81217.0,0,77,70,324,146,40,84,3,7,11,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
62,22944.0,1,67,3,19,4,5,26,3,0,3,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
63,63342.0,1,48,21,118,13,10,21,8,3,5,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
64,61872.0,1,81,5,159,36,27,16,4,4,9,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
65,73455.0,0,98,61,757,186,163,20,6,5,10,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
66,42554.0,2,93,1,11,0,0,0,2,0,3,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
67,51148.0,2,38,6,45,8,9,12,5,1,6,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
68,47743.0,1,56,2,43,0,12,20,4,1,6,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
69,57091.0,1,82,0,24,6,0,4,9,2,5,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
70,72967.0,1,1,35,179,0,0,125,7,2,8,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
71,40780.0,1,30,27,71,13,3,34,7,1,5,4,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
72,48070.0,1,33,14,83,6,9,19,8,2,6,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
73,43142.0,2,84,1,7,2,1,4,1,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
74,36550.0,1,74,90,94,123,103,120,9,1,5,5,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
75,40049.0,1,61,65,52,10,44,28,3,2,6,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
76,76773.0,0,79,56,449,86,33,16,2,2,11,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
77,52531.0,0,68,112,151,51,72,125,7,2,10,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
78,64497.0,1,17,48,320,42,32,192,11,4,9,5,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
79,7500.0,0,59,16,11,11,1,16,2,0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
