ID,BirthYear,Education,Marital_Status,Income,NKids,EnrollDate,Recency,Complain,AmtFruits,AmtMeats,AmtFish,AmtSweets,AmtGold,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumDiscPurchases,AccCampaign,Response
1,1985,Graduation,Married,70951,0,4/5/2013,66,0,10,554,254,87,54,3,4,9,1,None,No
2,1961,Graduation,Single,57091,0,15/6/2014,0,0,5,64,7,0,37,7,3,7,1,Second,Yes
3,1975,Master,Single,46098,2,18/8/2012,86,0,0,27,0,0,36,3,2,2,4,None,No
4,1947,PhD,Widow,25358,1,22/7/2013,57,0,0,5,0,0,8,1,0,3,2,None,No
5,1971,PhD,Married,60491,1,6/9/2013,81,0,47,237,12,19,76,6,11,7,4,None,No
6,1965,2n Cycle,Married,46891,1,1/9/2013,91,0,12,23,29,15,61,2,1,4,1,None,No
7,1976,Graduation,Divorced,46310,1,3/12/2012,99,0,2,88,15,5,14,6,1,5,2,None,No
8,1960,Master,Together,17144,2,15/2/2014,96,0,2,19,0,2,6,3,0,4,5,None,No
9,1958,Graduation,Married,65148,1,16/11/2012,9,0,35,422,33,12,153,6,6,7,2,None,No
10,1987,Graduation,Married,25545,1,8/9/2012,35,0,1,64,16,12,85,2,2,3,3,None,Yes
11,1964,Graduation,Together,55761,1,24/4/2014,97,0,1,12,0,3,32,4,1,3,2,None,No
12,1970,Graduation,Single,20587,1,11/5/2014,39,0,3,6,4,1,9,1,1,2,1,None,No
13,1963,Graduation,Together,56253,1,7/12/2012,83,0,0,65,7,11,5,7,2,9,4,None,No
14,1972,Master,Single,46423,2,18/9/2013,6,0,0,16,0,0,8,2,0,4,3,None,No
15,1953,PhD,Single,51411,3,26/5/2013,81,0,0,3,0,0,1,0,0,3,1,None,No
16,1982,2n Cycle,Together,41039,0,25/7/2013,32,0,11,137,179,61,45,8,1,5,1,None,No
17,1969,Graduation,Married,25293,1,15/9/2013,51,0,0,11,0,2,9,1,1,2,1,None,No
18,1981,2n Cycle,Married,27733,1,26/8/2013,16,0,7,5,26,2,17,2,0,3,2,None,No
19,1975,2n Cycle,Married,22212,1,9/12/2013,49,0,9,20,6,8,21,2,0,4,2,None,No
20,1988,Graduation,Alone,34176,1,12/5/2014,12,0,7,24,19,14,20,3,0,4,4,None,No
21,1951,Graduation,Married,30833,2,16/7/2013,33,0,0,7,3,1,6,1,0,3,2,None,No
22,1966,Master,Single,43456,1,26/3/2013,0,0,11,68,25,7,7,5,1,8,3,None,No
23,1951,Graduation,Widow,67046,1,6/1/2013,92,0,35,133,23,151,107,4,5,4,2,None,No
24,1958,2n Cycle,Together,53083,2,15/5/2013,65,0,7,33,3,0,13,5,1,5,6,None,No
25,1970,Graduation,Single,61209,0,25/8/2013,73,0,0,224,119,49,99,5,3,4,1,None,No
26,1960,PhD,Single,76045,0,15/11/2013,78,0,53,400,17,93,0,4,5,11,1,First,No
27,1953,Graduation,Divorced,23272,0,17/10/2013,29,0,3,6,4,2,12,1,0,3,1,None,No
28,1945,PhD,Together,71604,0,17/11/2013,3,0,53,528,98,75,97,8,3,5,1,None,Yes
29,1977,PhD,Married,28973,0,13/10/2012,59,0,0,46,3,2,12,5,1,5,2,None,No
30,1986,Graduation,Married,71952,1,10/1/2013,93,0,80,455,52,107,93,8,4,8,2,None,No
31,1980,2n Cycle,Single,67506,1,2/1/2014,73,0,38,67,33,36,67,4,1,6,1,None,No
32,1956,Graduation,Married,62503,1,18/2/2013,40,0,0,193,110,75,117,8,3,11,4,None,No
33,1946,PhD,Together,44124,1,11/5/2013,62,0,0,55,0,6,52,6,2,5,4,None,No
34,1996,Basic,Married,14421,0,17/2/2014,81,0,0,2,3,3,8,1,0,2,1,None,No
35,1965,Graduation,Married,48006,2,9/6/2014,55,0,0,11,3,2,2,1,0,3,1,None,No
36,1972,Graduation,Single,38808,1,26/8/2012,21,0,17,52,3,19,30,5,1,4,4,None,Yes
37,1962,Master,Single,45183,0,20/1/2013,33,1,3,60,12,9,12,4,1,7,1,None,No
38,1948,PhD,Widow,82032,0,5/4/2014,54,0,194,377,149,125,57,4,6,7,0,None,No
39,1975,Master,Single,81169,0,14/4/2013,47,0,20,613,80,61,27,5,7,9,1,None,No
40,1963,PhD,Single,23091,2,28/5/2014,98,0,0,11,0,0,2,2,1,3,4,None,No
41,1956,Master,Single,64857,0,23/11/2012,78,0,14,717,210,0,43,7,5,10,1,None,No
42,1955,Graduation,Married,48726,1,27/4/2013,90,0,3,38,4,0,59,3,2,4,3,None,No
43,1956,Master,Together,28839,2,11/3/2014,86,0,0,7,0,0,1,2,0,3,2,None,No
44,1965,Graduation,Single,61559,1,17/7/2013,8,0,83,88,32,14,34,4,2,10,1,None,No
45,1979,Graduation,Divorced,15287,1,10/10/2012,60,0,2,8,4,3,13,1,1,2,2,None,Yes
46,1951,Graduation,Married,34838,2,19/1/2013,62,0,23,29,29,14,47,2,1,4,3,None,No
47,1967,2n Cycle,Together,67309,2,23/1/2013,76,0,47,181,149,95,95,9,6,9,15,None,No
48,1952,Graduation,Together,83844,0,12/5/2013,57,0,31,345,75,31,191,4,4,11,1,None,No
49,1965,Graduation,Married,66480,2,31/5/2014,71,0,9,57,20,21,6,4,1,7,7,None,No
50,1971,Graduation,Married,36715,1,17/11/2012,16,0,10,125,21,13,16,7,2,4,6,None,Yes
51,1963,PhD,Divorced,41003,0,17/3/2013,11,0,133,142,71,44,88,6,2,8,1,None,No
52,1955,Graduation,Together,53863,1,17/5/2014,4,0,4,30,6,4,30,7,1,7,3,None,No
53,1951,Graduation,Divorced,22263,2,30/3/2014,31,1,0,2,0,0,2,1,0,3,2,None,No
54,1959,PhD,Married,75032,1,28/4/2013,74,0,12,180,47,12,12,5,4,9,2,None,No
55,1945,PhD,Single,45576,0,28/5/2014,9,0,19,29,2,14,25,3,1,3,1,None,Yes
56,1963,PhD,Single,46757,1,16/11/2012,71,0,30,163,0,51,122,4,4,7,6,None,No
